,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
49853,2011-07-01,31.954,0.148,Abilene,United States,32.95,-100.53
140278,2011-07-01,24.948,0.212,Akron,United States,40.99,-80.95
170373,2011-07-01,24.525,0.4379999999999999,Albuquerque,United States,34.56,-107.03
190740,2011-07-01,26.895000000000003,0.3,Alexandria,United States,39.38,-76.99
205463,2011-07-01,24.564,0.4379999999999999,Allentown,United States,40.99,-74.56
234000,2011-07-01,30.653,0.332,Amarillo,United States,34.56,-101.19
276202,2011-07-01,19.447,0.216,Anaheim,United States,32.95,-117.77
287755,2011-07-01,11.611,0.631,Anchorage,United States,61.88,-151.13
318169,2011-07-01,25.233,0.342,Ann Arbor,United States,42.59,-82.91
336857,2011-07-01,19.649,0.493,Antioch,United States,37.78,-122.03
403334,2011-07-01,32.697,0.258,Arlington,United States,32.95,-96.70
406573,2011-07-01,26.895000000000003,0.3,Arlington,United States,39.38,-76.99
419606,2011-07-01,15.441,0.2769999999999999,Arvada,United States,39.38,-106.13
469516,2011-07-01,26.356,0.299,Atlanta,United States,34.56,-83.68
484991,2011-07-01,23.688,0.154,Aurora,United States,39.38,-104.05
488230,2011-07-01,26.211,0.258,Aurora,United States,40.99,-87.34
490555,2011-07-01,31.017000000000003,0.377,Austin,United States,29.74,-97.85
575409,2011-07-01,25.917,0.352,Bakersfield,United States,36.17,-119.34
602954,2011-07-01,26.895000000000003,0.3,Baltimore,United States,39.38,-76.99
753039,2011-07-01,28.868,0.407,Baton Rouge,United States,29.74,-90.46
766661,2011-07-01,29.388,0.311,Beaumont,United States,29.74,-94.15
811235,2011-07-01,14.265999999999998,0.192,Bellevue,United States,47.42,-121.97
855315,2011-07-01,19.649,0.493,Berkeley,United States,37.78,-122.03
983844,2011-07-01,28.53,0.255,Birmingham,United States,32.95,-87.13
1058958,2011-07-01,22.676,0.336,Boston,United States,42.59,-72.00
1136839,2011-07-01,23.621,0.352,Bridgeport,United States,40.99,-72.43
