,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
49854,2011-08-01,32.11,0.201,Abilene,United States,32.95,-100.53
140279,2011-08-01,22.271,0.213,Akron,United States,40.99,-80.95
170374,2011-08-01,24.090000000000003,0.42,Albuquerque,United States,34.56,-107.03
190741,2011-08-01,24.261999999999997,0.231,Alexandria,United States,39.38,-76.99
205464,2011-08-01,22.13,0.163,Allentown,United States,40.99,-74.56
234001,2011-08-01,30.647,0.208,Amarillo,United States,34.56,-101.19
276203,2011-08-01,20.003,0.5760000000000001,Anaheim,United States,32.95,-117.77
287756,2011-08-01,9.461,0.365,Anchorage,United States,61.88,-151.13
318170,2011-08-01,22.25500000000001,0.218,Ann Arbor,United States,42.59,-82.91
336858,2011-08-01,19.389,0.415,Antioch,United States,37.78,-122.03
403335,2011-08-01,33.739999999999995,0.156,Arlington,United States,32.95,-96.7
406574,2011-08-01,24.261999999999997,0.231,Arlington,United States,39.38,-76.99
419607,2011-08-01,14.939,0.204,Arvada,United States,39.38,-106.13
469517,2011-08-01,25.866,0.362,Atlanta,United States,34.56,-83.68
484992,2011-08-01,23.358,0.431,Aurora,United States,39.38,-104.05
488231,2011-08-01,22.906,0.357,Aurora,United States,40.99,-87.34
490556,2011-08-01,32.166,0.296,Austin,United States,29.74,-97.85
575410,2011-08-01,25.898000000000003,0.249,Bakersfield,United States,36.17,-119.34
602955,2011-08-01,24.261999999999997,0.231,Baltimore,United States,39.38,-76.99
753040,2011-08-01,30.328000000000007,0.4,Baton Rouge,United States,29.74,-90.46
766662,2011-08-01,30.533,0.3829999999999999,Beaumont,United States,29.74,-94.15
811236,2011-08-01,15.798,0.166,Bellevue,United States,47.42,-121.97
855316,2011-08-01,19.389,0.415,Berkeley,United States,37.78,-122.03
983845,2011-08-01,28.627,0.187,Birmingham,United States,32.95,-87.13
1058959,2011-08-01,20.769,0.2339999999999999,Boston,United States,42.59,-72.0
1136840,2011-08-01,22.476999999999997,0.382,Bridgeport,United States,40.99,-72.43
1154777,2011-08-01,29.46,0.248,Brownsville,United States,26.52,-96.72
1184605,2011-08-01,21.129,0.172,Buffalo,United States,42.59,-78.55
1212355,2011-08-01,24.566999999999997,0.3389999999999999,Burbank,United States,34.56,-118.7
1326874,2011-08-01,20.769,0.2339999999999999,Cambridge,United States,42.59,-72.0
1356322,2011-08-01,28.592,0.314,Cape Coral,United States,26.52,-82.39
1381683,2011-08-01,33.739999999999995,0.156,Carrollton,United States,32.95,-96.7
1394884,2011-08-01,26.003,0.157,Cary,United States,36.17,-79.56
