,Feature,Probability under the Null Hypothesis
4,Wind 30 Days Before the Event,0.928
13,Precipitation 15 Days Before the Event,0.885
5,Wind 15 Days Before the Event,0.829
14,Precipitation 7 Days Before the Event,0.519
12,Precipitation 30 Days Before the Event,0.392
6,Wind 7 Days Before the Event,0.38
1,Temperature 15 Days Before Event,0.235
9,Humidity 15 Days Before the Event,0.15600000000000003
8,Humidity 30 Days Before the Event,0.14200000000000002
11,Humidity in the 7 Days Leading up to Event,0.0
15,Preicpitation in the 7 Days Leading up to Event,0.0
0,Temperature 30 Days Before Event,0.0
10,Humidity 7 Days Before the Event,0.0
7,Wind in the 7 Days Leading up to Event,0.0
3,Temperature in the 7 Days Leading up to Event,0.0
2,Temperature 7 Days Before Event,0.0
16,Remoteness from the City,0.0
